z_A,planar_electrostatic_potential_eV
33.471249537394506,0.6379931
33.57992242550293,0.6379916
33.68859531361135,0.63799095
33.797268201719774,0.63799006
33.9059410898282,0.637989
34.01461397793662,0.63798684
34.12328686604504,0.6379837
34.23195975415347,0.6379821
34.340632642261895,0.63798004
34.44930553037032,0.6379731
34.55797841847874,0.63796115
34.66665130658716,0.63795775
34.775324194695585,0.6379573
34.88399708280401,0.63795596
34.99266997091244,0.6379546
35.10134285902086,0.637954
35.21001574712928,0.6379537
35.318688635237706,0.63794583
35.42736152334613,0.637944
35.53603441145455,0.6379434
35.644707299562974,0.63794315
35.753380187671404,0.637942
35.862053075779826,0.6379405
35.97072596388825,0.6379402
36.07939885199667,0.63793975
36.188071740105094,0.6379396
36.29674462821352,0.63793945
36.40541751632194,0.6379393
36.51409040443037,0.6379391
36.62276329253879,0.6379385
36.731436180647215,0.6379383
36.84010906875564,0.6379377
36.94878195686406,0.6379358
37.05745484497248,0.6379357
37.166127733080906,0.6379354
37.274800621189335,0.637935
37.38347350929776,0.63793486
37.49214639740618,0.6379343
37.6008192855146,0.6379256
37.709492173623026,0.6379252
37.81816506173145,0.637925
37.92683794983987,0.6379249
38.0355108379483,0.6379244
38.144183726056724,0.6379243
38.25285661416515,0.6379242
38.36152950227357,0.6379241
38.47020239038199,0.63792324
38.578875278490415,0.63792187
38.68754816659884,0.6379217
38.79622105470727,0.63792163
38.90489394281569,0.6379215
39.01356683092411,0.63792145
39.122239719032535,0.6379214
39.23091260714096,0.63792115
39.33958549524938,0.63792086
39.4482583833578,0.6379208
39.55693127146623,0.6379208
39.665604159574656,0.63792074
39.77427704768308,0.63792074
39.8829499357915,0.6379207
39.991622823899924,0.6379207
40.10029571200835,0.6379207
40.20896860011677,0.6379207
40.3176414882252,0.6379206
40.42631437633362,0.6379206
40.534987264442044,0.6379206
40.64366015255047,0.6379207
40.75233304065889,0.6379207
40.86100592876731,0.63792074
40.969678816875735,0.63792074
41.078351704984165,0.63792074
41.18702459309259,0.6379208
41.29569748120101,0.6379208
41.40437036930943,0.63792086
41.513043257417856,0.6379209
41.62171614552628,0.63792115
41.73038903363471,0.63792145
41.83906192174313,0.6379215
41.94773480985155,0.6379216
42.056407697959976,0.63792163
42.1650805860684,0.6379217
42.27375347417682,0.6379221
42.382426362285244,0.6379238
42.491099250393674,0.63792413
42.5997721385021,0.63792425
42.70844502661052,0.6379244
42.81711791471894,0.63792455
42.925790802827365,0.63792497
43.03446369093579,0.637925
43.14313657904421,0.6379252
43.25180946715264,0.6379279
43.36048235526106,0.63793474
