z_A,planar_electrostatic_potential_eV
10.323924370300253,-0.94081485
10.432597258408677,-0.94079703
10.5412701465171,-0.94078076
10.649943034625524,-0.94076234
10.758615922733947,-0.9407451
10.867288810842371,-0.940728
10.975961698950794,-0.94071114
11.084634587059218,-0.9406919
11.193307475167643,-0.9406745
11.301980363276066,-0.94065744
11.41065325138449,-0.94063956
11.519326139492913,-0.9406237
11.627999027601337,-0.9406207
11.73667191570976,-0.94065547
11.845344803818184,-0.9407866
11.954017691926609,-0.9411259
12.062690580035031,-0.94185686
12.171363468143456,-0.9432735
12.280036356251879,-0.9458264
12.388709244360303,-0.9501719
12.497382132468726,-0.95730025
12.60605502057715,-0.96869886
12.714727908685575,-0.986569
12.823400796793997,-1.0141289
12.932073684902422,-1.0559934
13.040746573010845,-1.1187035
13.149419461119269,-1.2114494
13.258092349227693,-1.3470541
13.366765237336116,-1.5436363
13.47543812544454,-1.8271227
13.584111013552963,-2.2388806
13.692783901661388,-2.816958
13.80145678976981,-3.5583546
13.910129677878235,-4.262285
14.01880256598666,-4.613824
14.127475454095082,-4.566697
14.236148342203506,-4.5024514
14.34482123031193,-4.906601
14.453494118420354,-6.06369
14.562167006528776,-8.086764
14.6708398946372,-10.691047
14.779512782745625,-13.135724
14.888185670854048,-14.770515
14.996858558962472,-15.433731
15.105531447070895,-15.286404
15.21420433517932,-14.592014
15.322877223287744,-13.74133
15.431550111396167,-13.205315
15.540222999504591,-13.266919
15.648895887613014,-13.872826
15.757568775721438,-14.644795
15.866241663829861,-15.080486
15.974914551938285,-14.870956
16.08358744004671,-14.065329
16.192260328155132,-13.031643
16.300933216263555,-12.298719
16.40960610437198,-12.281796
16.518278992480404,-12.979142
16.626951880588827,-13.971678
16.735624768697253,-14.724903
16.844297656805676,-14.862715
16.9529705449141,-14.324788
17.06164343302252,-13.3979225
17.170316321130947,-12.586935
17.27898920923937,-12.36906
17.387662097347793,-12.879213
17.49633498545622,-13.811106
17.60500787356464,-14.637552
17.713680761673064,-14.92294
17.822353649781487,-14.517179
17.931026537889913,-13.626665
18.039699425998336,-12.71779
18.14837231410676,-12.308311
18.257045202215185,-12.646055
18.365718090323607,-13.525726
18.47439097843203,-14.441451
18.583063866540453,-14.909632
18.69173675464888,-14.690401
18.8004096427573,-13.897588
18.909082530865724,-12.944316
19.01775541897415,-12.362821
19.126428307082573,-12.5022135
19.235101195190996,-13.277531
19.34377408329942,-14.233406
19.452446971407845,-14.8532295
19.561119859516268,-14.81698
19.66979274762469,-14.143087
19.778465635733117,-13.179314
19.88713852384154,-12.450433
19.995811411949962,-12.387251
20.104484300058385,-13.028434
20.21315718816681,-13.991331
20.321830076275234,-14.744039
20.430502964383656,-14.896594
20.539175852492082,-14.370645
20.647848740600505,-13.43736
20.756521628708928,-12.594664
20.865194516817354,-12.33176
20.973867404925777,-12.808859
21.0825402930342,-13.737874
21.191213181142622,-14.592903
21.29988606925105,-14.926168
21.40855895735947,-14.566009
21.517231845467894,-13.6977825
21.62590473357632,-12.776887
21.734577621684743,-12.326317
21.843250509793165,-12.61856
21.951923397901588,-13.475675
22.060596286010014,-14.401697
22.169269174118437,-14.904172
22.27794206222686,-14.72432
22.386614950335286,-13.95468
22.49528783844371,-12.994694
22.60396072655213,-12.376767
22.712633614660554,-12.470443
22.82130650276898,-13.218417
22.929979390877403,-14.179527
23.038652278985825,-14.832008
23.14732516709425,-14.838899
23.255998055202674,-14.196517
23.364670943311097,-13.236122
23.47334383141952,-12.477923
23.582016719527946,-12.368314
23.69068960763637,-12.97432
23.79936249574479,-13.933108
23.908035383853218,-14.71219
24.01670827196164,-14.907211
24.125381160070063,-14.418029
